city_id,ward_id,ward_number,ward_name,zone_name,locality_name,place_type,osm_type,osm_id,lat,lng,source_name,source_url,is_verified,notes
chennai,ward-005,5,Ward 5,Zone Thiruvottiyur,Bharathiyar Nagar,neighbourhood,node,9853561284,13.1858089,80.3155515,OpenStreetMap Overpass,https://www.openstreetmap.org/node/9853561284,false,
chennai,ward-005,5,Ward 5,Zone Thiruvottiyur,CMWSSB Division 5,neighbourhood,way,964273547,13.1784415,80.3099110,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273547,false,
chennai,ward-006,6,Ward 6,Zone Thiruvottiyur,CMWSSB Division 6,neighbourhood,way,964273546,13.1783260,80.2949835,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273546,false,
chennai,ward-006,6,Ward 6,Zone Thiruvottiyur,Kargil Nagar,suburb,node,12916928116,13.1730186,80.2922411,OpenStreetMap Overpass,https://www.openstreetmap.org/node/12916928116,false,
chennai,ward-007,7,Ward 7,Zone Thiruvottiyur,CMWSSB Division 7,neighbourhood,way,964273545,13.1582955,80.2833100,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273545,false,
chennai,ward-008,8,Ward 8,Zone Thiruvottiyur,CMWSSB Division 8,neighbourhood,way,964273544,13.1663820,80.3066870,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273544,false,
chennai,ward-009,9,Ward 9,Zone Thiruvottiyur,CMWSSB Division 9,neighbourhood,way,964273543,13.1628770,80.3061830,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273543,false,
chennai,ward-010,10,Ward 10,Zone Thiruvottiyur,CMWSSB Division 10,neighbourhood,way,964273542,13.1631860,80.2995095,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273542,false,
chennai,ward-011,11,Ward 11,Zone Thiruvottiyur,CMWSSB Division 11,neighbourhood,way,964273541,13.1548385,80.3026645,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273541,false,
chennai,ward-011,11,Ward 11,Zone Thiruvottiyur,Tiruvottiyur,suburb,node,393784007,13.1563873,80.3005279,OpenStreetMap Overpass,https://www.openstreetmap.org/node/393784007,false,
chennai,ward-012,12,Ward 12,Zone Thiruvottiyur,CMWSSB Division 12,neighbourhood,way,964273540,13.1513585,80.2966580,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273540,false,
chennai,ward-012,12,Ward 12,Zone Thiruvottiyur,Kaladipet,neighbourhood,node,8430636724,13.1515971,80.2987772,OpenStreetMap Overpass,https://www.openstreetmap.org/node/8430636724,false,
chennai,ward-013,13,Ward 13,Zone Thiruvottiyur,CMWSSB Division 13,neighbourhood,way,964273539,13.1478025,80.2937815,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273539,false,
chennai,ward-014,14,Ward 14,Zone Thiruvottiyur,CMWSSB Division 14,neighbourhood,way,964273538,13.1472615,80.3011915,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273538,false,
chennai,ward-015,15,Ward 15,Zone Manali,Chinna Echankuzhi,village,node,321655425,13.2230574,80.2721457,OpenStreetMap Overpass,https://www.openstreetmap.org/node/321655425,false,
chennai,ward-015,15,Ward 15,Zone Manali,CMWSSB Division 15,neighbourhood,way,964273537,13.2126640,80.2899560,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273537,false,
chennai,ward-015,15,Ward 15,Zone Manali,Edayanchavadi,suburb,node,1446805942,13.2169796,80.2850172,OpenStreetMap Overpass,https://www.openstreetmap.org/node/1446805942,false,
chennai,ward-015,15,Ward 15,Zone Manali,Nappalayam,village,node,321656053,13.2200327,80.2723775,OpenStreetMap Overpass,https://www.openstreetmap.org/node/321656053,false,
chennai,ward-016,16,Ward 16,Zone Manali,CMWSSB Division 16,neighbourhood,way,964273536,13.1933320,80.2770105,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273536,false,
chennai,ward-016,16,Ward 16,Zone Manali,Dwaraka Nagar,suburb,node,1184470607,13.1941304,80.2742752,OpenStreetMap Overpass,https://www.openstreetmap.org/node/1184470607,false,
chennai,ward-016,16,Ward 16,Zone Manali,Kadapakkam,suburb,node,1446805943,13.1984914,80.2652515,OpenStreetMap Overpass,https://www.openstreetmap.org/node/1446805943,false,
chennai,ward-016,16,Ward 16,Zone Manali,Kanniyampettai,village,node,403077502,13.1927082,80.2556997,OpenStreetMap Overpass,https://www.openstreetmap.org/node/403077502,false,
chennai,ward-016,16,Ward 16,Zone Manali,Saidayankuppam,suburb,node,339983986,13.1854785,80.2924308,OpenStreetMap Overpass,https://www.openstreetmap.org/node/339983986,false,
chennai,ward-017,17,Ward 17,Zone Manali,Ariyalur,village,node,403065034,13.1918717,80.2507423,OpenStreetMap Overpass,https://www.openstreetmap.org/node/403065034,false,
chennai,ward-017,17,Ward 17,Zone Manali,Chettimedu,hamlet,node,321663416,13.1833898,80.2288097,OpenStreetMap Overpass,https://www.openstreetmap.org/node/321663416,false,
chennai,ward-017,17,Ward 17,Zone Manali,CMWSSB Division 17,neighbourhood,way,964273535,13.1840680,80.2318400,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273535,false,
chennai,ward-017,17,Ward 17,Zone Manali,Kosappur,village,node,321663368,13.1818301,80.2350982,OpenStreetMap Overpass,https://www.openstreetmap.org/node/321663368,false,
chennai,ward-017,17,Ward 17,Zone Manali,Theyampakkam,hamlet,node,403065037,13.1950584,80.2322598,OpenStreetMap Overpass,https://www.openstreetmap.org/node/403065037,false,
chennai,ward-017,17,Ward 17,Zone Manali,Vadaperumbakkam,village,node,1449920417,13.1757143,80.2187732,OpenStreetMap Overpass,https://www.openstreetmap.org/node/1449920417,false,
chennai,ward-018,18,Ward 18,Zone Manali,CMWSSB Division 18,neighbourhood,way,964273534,13.1788775,80.2679275,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273534,false,
chennai,ward-019,19,Ward 19,Zone Manali,CMWSSB Division 19,neighbourhood,way,964273533,13.1729940,80.2394290,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273533,false,
chennai,ward-019,19,Ward 19,Zone Manali,Mathur,suburb,node,978213164,13.1678641,80.2436918,OpenStreetMap Overpass,https://www.openstreetmap.org/node/978213164,false,
chennai,ward-020,20,Ward 20,Zone Manali,CMWSSB Division 20,neighbourhood,way,964273532,13.1690925,80.2545540,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273532,false,
chennai,ward-021,21,Ward 21,Zone Manali,CMWSSB Division 21,neighbourhood,way,964273531,13.1672350,80.2701460,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273531,false,
chennai,ward-021,21,Ward 21,Zone Manali,Manali,suburb,node,282003688,13.1672275,80.2598107,OpenStreetMap Overpass,https://www.openstreetmap.org/node/282003688,false,
chennai,ward-022,22,Ward 22,Zone Madhavaram,CMWSSB Division 22,neighbourhood,way,964273530,13.1694255,80.2083550,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273530,false,
chennai,ward-023,23,Ward 23,Zone Madhavaram,CMWSSB Division 23,neighbourhood,way,964273529,13.1590815,80.2089320,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273529,false,
chennai,ward-023,23,Ward 23,Zone Madhavaram,Puzhal,suburb,node,417915587,13.1636492,80.2038067,OpenStreetMap Overpass,https://www.openstreetmap.org/node/417915587,false,
chennai,ward-024,24,Ward 24,Zone Madhavaram,CMWSSB Division 24,neighbourhood,way,964273528,13.1415540,80.1905475,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273528,false,
chennai,ward-024,24,Ward 24,Zone Madhavaram,Puthagaram,suburb,node,1446805947,13.1346231,80.1978478,OpenStreetMap Overpass,https://www.openstreetmap.org/node/1446805947,false,
chennai,ward-024,24,Ward 24,Zone Madhavaram,Surapattu,suburb,node,1446805948,13.1446934,80.1850249,OpenStreetMap Overpass,https://www.openstreetmap.org/node/1446805948,false,
chennai,ward-025,25,Ward 25,Zone Madhavaram,CMWSSB Division 25,neighbourhood,way,964273527,13.1501500,80.2057505,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273527,false,
chennai,ward-025,25,Ward 25,Zone Madhavaram,Kathirvedu,suburb,node,1446805945,13.1487214,80.2035560,OpenStreetMap Overpass,https://www.openstreetmap.org/node/1446805945,false,
chennai,ward-026,26,Ward 26,Zone Madhavaram,CMWSSB Division 26,neighbourhood,way,964273526,13.1453180,80.2175995,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273526,false,
chennai,ward-027,27,Ward 27,Zone Madhavaram,CMWSSB Division 27,neighbourhood,way,964273525,13.1583285,80.2349370,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273525,false,
chennai,ward-028,28,Ward 28,Zone Madhavaram,CMWSSB Division 28,neighbourhood,way,964273524,13.1562800,80.2487285,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273524,false,
chennai,ward-028,28,Ward 28,Zone Madhavaram,Madhavaram Milk Colony,suburb,node,321661370,13.1554081,80.2425246,OpenStreetMap Overpass,https://www.openstreetmap.org/node/321661370,false,
